1.990500000000000000e+03;nan;-3.200000000000000178e+00
1.991500000000000000e+03;nan;-1.519999999999999574e+00
1.992500000000000000e+03;nan;-2.709999999999999964e+00
1.993500000000000000e+03;nan;-3.080000000000000071e+00
1.994500000000000000e+03;nan;-3.519999999999999574e+00
1.995500000000000000e+03;nan;-1.950000000000001066e+00
1.996500000000000000e+03;nan;-3.300000000000000711e+00
1.997500000000000000e+03;nan;-3.219999999999998863e+00
1.998500000000000000e+03;nan;-3.350000000000001421e+00
1.999500000000000000e+03;nan;-2.699999999999999289e+00
2.000500000000000000e+03;nan;-3.160000000000000142e+00
2.001500000000000000e+03;nan;-2.949999999999995737e+00
2.002500000000000000e+03;nan;-3.285000000000003695e+00
2.003500000000000000e+03;nan;-3.527999999999998693e+00
2.004500000000000000e+03;nan;-3.244500000000002160e+00
2.005500000000000000e+03;nan;-2.969999999999998863e+00
2.006500000000000000e+03;1.252724913584703614e+02;-3.549999999999997158e+00
2.007500000000000000e+03;1.111925019365505847e+02;-3.540000000000006253e+00
2.008500000000000000e+03;1.033143461796999958e+02;-2.843999999999994088e+00
2.009500000000000000e+03;1.111260723874582510e+02;-4.385000000000005116e+00
2.010500000000000000e+03;1.114162958233340674e+02;-3.210899999999995202e+00
2.011500000000000000e+03;1.098804730990022165e+02;-3.618000000000009209e+00
2.012500000000000000e+03;1.037991337887119698e+02;-2.587499999999991473e+00
2.013500000000000000e+03;1.014642999634637590e+02;-3.447000000000002728e+00
2.014500000000000000e+03;1.147371264820956327e+02;-2.159999999999996589e+00
2.015500000000000000e+03;9.763682926780225557e+01;-3.990000000000009095e+00
2.016500000000000000e+03;nan;nan
2.017500000000000000e+03;1.011148624228310240e+02;nan
2.018500000000000000e+03;1.150612044155550535e+02;nan
